Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Afghanistan","AFG","Females, as a share of private paid employees by wage quintile: Quintile 3","BI.PWK.PRVS.FE.Q3.ZS",,,,,,,,"0.0133082401007414",,,,,,"0.0344389341771603",,,,,,,,,
"Afghanistan","AFG","Females, as a share of private paid employees by wage quintile: Quintile 4","BI.PWK.PRVS.FE.Q4.ZS",,,,,,,,"0.0174186918884516",,,,,,"0.0509968250989914",,,,,,,,,
"Afghanistan","AFG","Females, as a share of private paid employees by wage quintile: Quintile 5","BI.PWK.PRVS.FE.Q5.ZS",,,,,,,,"0.0236436538398266",,,,,,"0.0440018810331821",,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees","BI.PWK.PUBS.FE.ZS",,,,,,,,"0.142711147665977",,,,"0.133999109268188",,"0.10150133818388",,,,,,"0.0917835533618927",,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Core Public Administration","BI.PWK.PUBS.CA.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Education","BI.PWK.PUBS.ED.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Health","BI.PWK.PUBS.HE.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Public Administration","BI.PWK.PUBS.PA.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Public Safety","BI.PWK.PUBS.PS.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Social Security","BI.PWK.PUBS.SS.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by industry: Teachers","BI.PWK.PUBS.TS.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by occupation: Medical workers","BI.PWK.PUBS.MW.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by occupational group: Clerks","BI.PWK.PUBS.CK.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by occupational group: Elementary occupation","BI.PWK.PUBS.EO.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by occupational group: Managers","BI.PWK.PUBS.SN.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by occupational group: Professionals","BI.PWK.PUBS.PN.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by occupational group: Technicians","BI.PWK.PUBS.TN.FE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by wage quintile: Quintile 1","BI.PWK.PUBS.FE.Q1.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by wage quintile: Quintile 2","BI.PWK.PUBS.FE.Q2.ZS",,,,,,,,,,,,,,"0.203895598649979",,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by wage quintile: Quintile 3","BI.PWK.PUBS.FE.Q3.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by wage quintile: Quintile 4","BI.PWK.PUBS.FE.Q4.ZS",,,,,,,,,,,,,,"0.0235604960471392",,,,,,,,,
"Afghanistan","AFG","Females, as a share of public paid employees by wage quintile: Quintile 5","BI.PWK.PUBS.FE.Q5.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the private sector, by industry: Education (compared to male paid employees)","BI.WAG.PRVS.ED.FM",,,,,,,,,,,,,,"-0.231242671608925",,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the private sector, by industry: Health (compared to male paid employees)","BI.WAG.PRVS.HE.FM",,,,,,,,,,,,,,"-0.0296888612210751",,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the private sector, by occupation: Medical workers (compared to male paid employees)","BI.WAG.PRVS.MW.FM",,,,,,,,,,,,,,"-0.177459970116615",,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the private sector, by occupation: Teachers (compared to male paid employees)","BI.WAG.PRVS.TS.FM",,,,,,,,,,,,,,"-0.221408501267433",,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the public sector, by industry: Core Public Administration (compared to male paid employees)","BI.WAG.PUBS.CA.FM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the public sector, by industry: Education (compared to male paid employees)","BI.WAG.PUBS.ED.FM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the public sector, by industry: Health (compared to male paid employees)","BI.WAG.PUBS.HE.FM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the public sector, by industry: Public Administration (compared to male paid employees)","BI.WAG.PUBS.PA.FM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the public sector, by industry: Public Safety (compared to male paid employees)","BI.WAG.PUBS.PS.FM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Gender wage premium in the public sector, by industry: Social Security (compared to male paid employees)","BI.WAG.PUBS.SS.FM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Health workers, as a share of public formal employees","BI.EMP.FRML.HE.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Health workers, as a share of public paid employees","BI.EMP.PWRK.HE.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Health workers, as a share of public total employees","BI.EMP.TOTL.HE.PB.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with no education as a share of private paid employees","BI.PWK.PRVS.NN.ZS",,,,,,,,"0.741394817829132",,,,"0.639870584011078",,"0.638430237770081",,,,,,,,,
"Afghanistan","AFG","Individuals with no education as a share of public paid employees","BI.PWK.PUBS.NN.ZS",,,,,,,,"0.168940603733063",,,,"0.205073192715645",,"0.213488578796387",,,,,,"0.238205879926682",,,
"Afghanistan","AFG","Individuals with primary education as a share of private paid employees","BI.PWK.PRVS.PR.ZS",,,,,,,,"0.128089636564255",,,,"0.22221414744854",,"0.205770388245583",,,,,,"0.115268491208553",,,
"Afghanistan","AFG","Individuals with primary education as a share of public paid employees","BI.PWK.PUBS.PR.ZS",,,,,,,,"0.0963840782642365",,,,"0.159623131155968",,"0.125774994492531",,,,,,"0.0586250238120556",,,
"Afghanistan","AFG","Individuals with secondary education as a share of private paid employees","BI.PWK.PRVS.SG.ZS",,,,,,,,"0.117741756141186",,,,"0.100520819425583",,"0.103518337011337",,,,,,"0.322610557079315",,,
"Afghanistan","AFG","Individuals with secondary education as a share of public paid employees","BI.PWK.PUBS.SG.ZS",,,,,,,,"0.446095943450928",,,,"0.28879514336586",,"0.322001099586487",,,,,,"0.263581871986389",,,
"Afghanistan","AFG","Individuals with tertiary education as a share of private paid employees","BI.PWK.PRVS.TT.ZS",,,,,,,,"0.0127737941220403",,,,"0.0373944640159607",,"0.0522810146212578",,,,,,"0.239448294043541",,,
"Afghanistan","AFG","Individuals with tertiary education as a share of private paid employees, by industry: Education","BI.PWK.PRVS.TT.ED.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary education as a share of private paid employees, by industry: Health","BI.PWK.PRVS.TT.HE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of private paid employees, by occupation: Medical workers","BI.PWK.PRVS.TT.MW.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of private paid employees, by occupation: Teachers","BI.PWK.PRVS.TT.TS.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary education as a share of public paid employees","BI.PWK.PUBS.TT.ZS",,,,,,,,"0.288579344749451",,,,"0.346508532762527",,"0.338735342025757",,,,,,"0.439587205648422",,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of public paid employees, by industry: Core Public Administration","BI.PWK.PUBS.TT.CA.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary education as a share of public paid employees, by industry: Education","BI.PWK.PUBS.TT.ED.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary education as a share of public paid employees, by industry: Health","BI.PWK.PUBS.TT.HE.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary education as a share of public paid employees, by industry: Public Administration","BI.PWK.PUBS.TT.PA.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of public paid employees, by industry: Public Safety","BI.PWK.PUBS.TT.PS.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of public paid employees, by industry: Social Security","BI.PWK.PUBS.TT.SS.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of public paid employees, by occupation: Medical workers","BI.PWK.PUBS.TT.MW.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Individuals with tertiary Education as a share of public paid employees, by occupation: Teachers","BI.PWK.PUBS.TT.TS.ZS",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of private paid employees","BI.PWK.AGES.PV.SM",,,,,,,,"32.4022750854492",,,,"31.6751384735107",,"32.5159301757813",,,,,,"31.5411052703857",,,
"Afghanistan","AFG","Mean age of private paid employees, by industry: Education","BI.PWK.AGES.PV.ED.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of private paid employees, by industry: Health","BI.PWK.AGES.PV.HE.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of private paid employees, by occupation: Medical workers","BI.PWK.AGES.PV.MW.SM",,,,,,,,,,,,,,"33.5047836303711",,,,,,,,,
"Afghanistan","AFG","Mean age of private paid employees, by occupation: Teachers","BI.PWK.AGES.PV.TS.SM",,,,,,,,,,,,,,"29.7086181640625",,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees","BI.PWK.AGES.PB.SM",,,,,,,,"38.4318237304688",,,,"35.3822555541992",,"35.2008285522461",,,,,,"35.3256645202637",,,
"Afghanistan","AFG","Mean age of public paid employees, by industry: Core Public Administration","BI.PWK.AGES.PB.CA.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by industry: Education","BI.PWK.AGES.PB.ED.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by industry: Health","BI.PWK.AGES.PB.HE.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by industry: Public Administration","BI.PWK.AGES.PB.PA.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by industry: Public Safety","BI.PWK.AGES.PB.PS.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by industry: Social Security","BI.PWK.AGES.PB.SS.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by occupation: Medical workers","BI.PWK.AGES.PB.MW.SM",,,,,,,,,,,,,,"37.8658676147461",,,,,,,,,
"Afghanistan","AFG","Mean age of public paid employees, by occupation: Teachers","BI.PWK.AGES.PB.TS.SM",,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan","AFG","Median age of private paid employees","BI.PWK.AGES.PV.MD",,,,,,,,"30",,,,"30",,"30",,,,,,"28",,,
"Afghanistan","AFG","Median age of private paid employees, by industry: Education","BI.PWK.AGES.PV.ED.MD",,,,,,,,,,,,,,"27",,,,,,,,,
"Afghanistan","AFG","Median age of private paid employees, by industry: Health","BI.PWK.AGES.PV.HE.MD",,,,,,,,,,,,,,"30",,,,,,,,,
"Afghanistan","AFG","Median age of private paid employees, by occupation: Medical workers","BI.PWK.AGES.PV.MW.MD",,,,,,,,,,,,,,"34",,,,,,,,,
